PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1629010,00,0,113,12,1605.0,187,515,0.363106,78,252,0.309523,62,86,0.72093,20,188,208,131,51,26,81,189,514
1629620,00,0,18,0,136.0,12,33,0.363636,7,19,0.368421,3,5,0.6,2,10,12,16,3,1,5,12,34
1629011,00,0,158,55,3624.0,570,808,0.705445,0,0,0.0,191,336,0.568452,476,627,1103,90,139,325,98,497,1331
203922,00,0,304,105,5299.0,689,1508,0.456896,193,518,0.372586,233,299,0.779264,204,572,776,238,149,58,155,281,1804
1629676,00,0,64,34,1437.0,207,430,0.481395,32,109,0.293577,87,117,0.743589,89,254,343,107,52,37,114,163,533
200765,00,0,918,732,27873.0,3818,8340,0.457793,418,1296,0.32253,1097,1800,0.609444,895,3346,4241,7414,1488,119,2518,1941,9151
201565,00,0,646,507,20679.0,4662,10200,0.457058,519,1670,0.310778,2076,2505,0.828742,517,1644,2161,3543,499,223,1654,833,11919
203082,00,0,607,178,15179.0,2520,6013,0.419091,1157,3151,0.367185,699,837,0.835125,214,1532,1746,725,524,209,582,1065,6896
1626179,00,0,404,162,9982.0,1662,4058,0.409561,729,1939,0.375966,578,710,0.814084,256,1295,1551,1183,347,88,483,561,4631
201937,00,0,631,593,19158.0,2258,5775,0.390995,557,1713,0.32516,1881,2232,0.842741,404,2215,2619,4820,1151,81,1647,1612,6954
1626156,00,0,359,295,10400.0,2321,5510,0.421234,867,2408,0.360049,819,1062,0.771186,194,1093,1287,1910,409,97,1031,660,6328
1627734,00,0,353,214,9670.0,1887,3594,0.525041,142,442,0.321266,874,1206,0.724709,736,2327,3063,1170,250,157,763,1057,4790
1629677,00,0,36,5,357.0,52,121,0.429752,15,51,0.294117,19,33,0.575757,17,61,78,21,8,10,22,49,138
203960,00,0,236,94,3549.0,483,1026,0.47076,60,242,0.247933,207,309,0.669902,154,474,628,161,91,110,188,449,1233
203967,00,0,356,205,8964.0,1497,3393,0.441202,512,1433,0.357292,674,804,0.838308,538,1548,2086,699,220,79,573,755,4180
203107,00,0,333,169,7710.0,925,1941,0.476558,226,617,0.366288,402,489,0.822085,285,706,991,1402,280,55,467,587,2478
1629678,00,0,33,2,368.0,35,92,0.380434,19,61,0.311475,10,15,0.666666,7,40,47,15,8,4,7,50,99
203471,00,0,557,238,14610.0,2975,6823,0.436025,635,1886,0.336691,1354,1630,0.830674,232,1383,1615,2611,462,74,1336,1109,7939
203118,00,0,555,34,9183.0,1434,3168,0.452651,494,1365,0.361904,374,494,0.757085,378,1349,1727,499,183,74,357,822,3736
200757,00,0,869,475,19060.0,1916,4264,0.449343,513,1468,0.349455,649,887,0.731679,626,2626,3252,1196,935,366,755,1418,4994
1629012,00,0,207,197,6863.0,1557,3397,0.458345,314,815,0.385276,752,905,0.830939,176,451,627,697,171,23,510,485,4180
1629013,00,0,193,69,4657.0,584,1404,0.415954,407,1025,0.397073,206,247,0.834008,38,308,346,315,88,30,135,390,1781
1629621,00,0,4,0,28.0,3,12,0.25,2,6,0.333333,3,4,0.75,1,6,7,1,0,1,3,4,11
202697,00,0,461,246,11471.0,1225,3130,0.391373,489,1450,0.337241,381,499,0.763527,324,1210,1534,845,514,120,530,1058,3320
1627783,00,0,332,238,9202.0,1812,3713,0.488015,313,964,0.324688,802,1025,0.782439,426,1516,1942,881,286,229,532,860,4739
1629735,00,0,59,0,439.0,58,94,0.617021,1,4,0.25,48,70,0.685714,67,86,153,29,10,27,42,109,165
1627732,00,0,275,275,9326.0,1784,3188,0.559598,5,34,0.147058,809,1354,0.597488,523,1694,2217,2127,464,199,925,777,4382
1628424,00,0,33,12,645.0,80,189,0.42328,11,39,0.282051,25,25,1.0,14,36,50,68,18,5,44,61,196
1629014,00,0,154,5,2694.0,410,1000,0.41,205,537,0.38175,131,165,0.793939,42,263,305,199,45,18,115,240,1156
1629346,00,0,29,1,223.0,31,67,0.462686,7,23,0.304347,18,25,0.72,16,27,43,17,6,9,16,25,87
203935,00,0,449,228,13188.0,1515,4029,0.376023,677,2117,0.319792,870,1119,0.777479,393,1203,1596,1901,702,173,780,1173,4577
202397,00,0,654,166,13228.0,2149,4995,0.43023,276,858,0.321678,481,709,0.67842,238,1412,1650,2555,471,163,819,871,5055
1629015,00,0,13,2,143.0,17,45,0.377777,6,19,0.315789,8,12,0.666666,3,12,15,12,5,2,8,12,48
1628372,00,0,179,131,4515.0,812,2030,0.4,208,659,0.315629,279,428,0.651869,115,433,548,785,189,60,432,383,2111
203503,00,0,548,298,12270.0,1266,2926,0.432672,683,1720,0.397093,270,320,0.84375,156,1112,1268,641,250,129,310,776,3485
1629034,00,0,16,3,166.0,27,51,0.529411,0,4,0.0,4,14,0.285714,17,35,52,5,9,10,12,26,58
1629016,00,0,95,14,1691.0,225,539,0.417439,87,238,0.365546,105,137,0.766423,149,264,413,94,59,49,85,130,642
1629622,00,0,41,0,513.0,87,190,0.457894,50,149,0.33557,17,25,0.68,6,36,42,24,11,2,8,44,241
1628410,00,0,108,29,1520.0,232,489,0.474437,56,168,0.333333,99,136,0.727941,38,127,165,114,60,24,83,159,619
1628403,00,0,75,4,655.0,70,160,0.4375,2,17,0.117647,27,44,0.613636,59,159,218,56,14,11,73,127,169
1628369,00,0,289,289,9452.0,2020,4415,0.457531,597,1507,0.396151,957,1139,0.84021,234,1577,1811,772,335,203,562,596,5594
201952,00,0,826,600,22164.0,3548,7984,0.444388,708,1967,0.359938,2257,2673,0.844369,274,1715,1989,4585,936,277,1803,1542,10061
